id,title,year,directors,writers,date_in_theaters,duration,genres,actors
6339,Co-Ed Confidential,2007,,,11/02/2007,23,"Romance,Comedy","Kevin Patrick,Michelle Maylene,Bradley Joseph"
6340,My Super Ex-Girlfriend,2006,Ivan Reitman,Don Payne,07/21/2006,95,"Science Fiction & Fantasy,Romance,Comedy","Uma Thurman,Luke Wilson,Anna Faris"
6341,Cannibal Girls,1973,Ivan Reitman,"Daniel Goldberg,Ivan Reitman",April 1973,84,"Horror,Comedy","Eugene Levy,Andrea Martin,Ronald Ulrich"
6342,Foxy Lady,1971,Ivan Reitman,"Robert Sandler,Matt Siegel",09/27/1971,85,Comedy,"Alan Gordon,Sylvia Feigel,Robert McHeady"
6343,Saving Grace,2013,Michael McDonald,"Bill Lawrence,Kevin Biegel",03/19/2013,22,"Romance,Comedy","Courteney Cox,Christa Miller,Busy Philipps"
6344,Who Framed Roger Rabbit/Aria/The Great Outdoors,1988,,,06/25/1988,30,Television,"Gene Siskel,Roger Ebert"
6345,Operation - Annihilate!,1967,Herschel Daugherty,"Steven W. Carabatsos,Gene Roddenberry",04/13/1967,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,DeForest Kelley"
6346,Make It Better,2013,Courteney Cox,"Bill Lawrence,Kevin Biegel",03/05/2013,22,"Romance,Comedy","Courteney Cox,Christa Miller,Busy Philipps"
6347,Science Fiction,2011,Steve Boettcher,Mike Trinklein,01/18/2011,55,"Documentary,History","Kelsey Grammer,William Shatner,Leonard Nimoy"
6348,The Alternative Factor,1967,Gerd Oswald,"Don Ingalls,Gene Roddenberry",03/30/1967,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,Robert Brown"
6349,Shore Leave,1966,Robert Sparr,"Theodore Sturgeon,Gene Roddenberry",12/29/1966,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,Emily Banks"
6350,Snow White and the Seven Dwarfs,1938,"William Cottrell,David Hand","Jacob Grimm,Wilhelm Grimm",02/04/1938,83,"Science Fiction & Fantasy,Kids & Family,Animation","Adriana Caselotti,Harry Stockwell,Lucille La Verne"
6351,The Conscience of the King,1966,Gerd Oswald,"Barry Trivers,Gene Roddenberry",12/08/1966,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,Arnold Moss"
6352,The Apple,1967,Joseph Pevney,"Gene Roddenberry,Max Ehrlich",10/13/1967,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,DeForest Kelley"
6353,Encounter at Farpoint,1987,Corey Allen,"Gene Roddenberry,D.C. Fontana",09/26/1987,92,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6354,The Changeling,1967,Marc Daniels,"Gene Roddenberry,John Meredyth Lucas",09/29/1967,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,DeForest Kelley"
6355,StarCraft,1998,"Chris Metzen,Matt Samia","Chris Metzen,Chris Metzen",04/01/1998,,"Science Fiction & Fantasy,Action & Adventure","Glynnis Talken,Michael Gough,Paul Eiding"
6356,The Visitor,1995,David Livingston,"Gene Roddenberry,Rick Berman",10/09/1995,45,"Drama,Action & Adventure","Avery Brooks,Rene Auberjonois,Michael Dorn"
6357,In the Pale Moonlight,1998,Victor Lobl,"Gene Roddenberry,Rick Berman",04/15/1998,46,"Drama,Action & Adventure","Avery Brooks,Rene Auberjonois,Michael Dorn"
6358,Trials and Tribble-ations,1996,Jonathan West,"Gene Roddenberry,Rick Berman",11/04/1996,45,"Drama,Action & Adventure","Avery Brooks,Rene Auberjonois,Michael Dorn"
6359,Burnout,2009,Constantine Makris,"D. Brent Mote,Jane Espenson",08/11/2009,42,"Drama,Science Fiction & Fantasy,Mystery & Suspense","Eddie McClintock,Joanne Kelly,Saul Rubinek"
6360,The Best of Both Worlds: Part 2,1990,Cliff Bole,"Gene Roddenberry,Michael Piller",09/22/1990,45,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6361,The Best of Both Worlds: Part 1,1990,Cliff Bole,"Gene Roddenberry,Michael Piller",06/16/1990,45,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6362,The Inner Light,1992,Peter Lauritson,"Gene Roddenberry,Morgan Gendel",05/30/1992,45,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6363,"Christian Tattoos, Bible Versions and Graven Images",2014,,Michael Hoggard,03/18/2014,119,"Television,News",Michael Hoggard
6364,Treehouse of Horror X,1999,Pete Michels,"Matt Groening,James L. Brooks",10/31/1999,30,"Animation,Comedy","Dan Castellaneta,Julie Kavner,Nancy Cartwright"
6365,Starship Mine,1993,Cliff Bole,"Gene Roddenberry,Morgan Gendel",03/27/1993,60,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6366,Invasive Procedures,1993,Les Landau,"Gene Roddenberry,Rick Berman",10/17/1993,46,"Drama,Action & Adventure","Avery Brooks,Rene Auberjonois,Alexander Siddig"
6367,Living Witness,1998,Tim Russ,"Gene Roddenberry,Rick Berman",04/29/1998,60,"Science Fiction & Fantasy,Action & Adventure","Kate Mulgrew,Robert Beltran,Roxann Dawson"
6368,Scorpion: Part 1,1997,David Livingston,"Gene Roddenberry,Rick Berman",05/21/1997,45,"Science Fiction & Fantasy,Action & Adventure","Kate Mulgrew,Robert Beltran,Roxann Dawson"
6369,Blink of an Eye,2000,Gabrielle Beaumont,"Gene Roddenberry,Rick Berman",01/19/2000,44,"Science Fiction & Fantasy,Action & Adventure","Kate Mulgrew,Robert Beltran,Roxann Dawson"
6370,Reunion,1990,Jonathan Frakes,"Gene Roddenberry,Thomas Perry",11/03/1990,46,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6371,Stargate: Atlantis,2004,"Robert C. Cooper,Brad Wright",,07/16/2004,44,"Drama,Action & Adventure","Joe Flanigan,Rachel Luttrell,David Hewlett"
6372,Countdown,2004,Robert Duncan McNeill,"Gene Roddenberry,Rick Berman",05/19/2004,43,"Drama,Action & Adventure","Scott Bakula,John Billingsley,Jolene Blalock"
6373,Azati Prime,2004,Allan Kroeker,"Gene Roddenberry,Rick Berman",03/03/2004,43,"Drama,Action & Adventure","Scott Bakula,John Billingsley,Jolene Blalock"
6374,Twilight,2003,Robert Duncan McNeill,"Gene Roddenberry,Rick Berman",11/05/2003,43,"Drama,Action & Adventure","Scott Bakula,John Billingsley,Jolene Blalock"
