id,title,year,directors,writers,date_in_theaters,duration,genres,actors
10554,Larry David & Jason Alexander/Natasha Leggero/Victor Espinoza/Alabama Shakes,2015,,,06/08/2015,41,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Larry David,Jason Alexander"
10555,The End of All We Hold Dear: What Happens When Democracies Fail: A Brief Synopsis,2016,Robert King,"Robert King,Michelle King",09/11/2016,43,"Drama,Horror,Comedy","Mary Elizabeth Winstead,Danny Pino,Aaron Tveit"
10556,Burning Love,2012,,,06/04/2012,23,"Romance,Comedy","Michael Ian Black,June Diane Raphael,Ken Marino"
10557,Sundowner,2016,Guillermo Navarro,"Sam Catlin,Seth Rogen",07/03/2016,42,"Drama,Science Fiction & Fantasy,Action & Adventure","Dominic Cooper,Joseph Gilgun,Ruth Negga"
10558,The Hotwives of Las Vegas,2015,"Dannah Feinglass Phirman,Danielle Schneider",,08/18/2015,30,Comedy,"Erinn Hayes,Tymberlee Hill,Angela Kinsey"
10559,Wet Hot American Summer: First Day of Camp,2015,"Michael Showalter,David Wain",,07/31/2015,30,Comedy,"Marguerite Moreau,Zak Orth,Paul Rudd"
10560,The Duel,2016,Jeremy Konner,"Natasha Leggero,Riki Lindhome",08/17/2016,21,"History,Comedy","Michael Ian Black,Paget Brewster,Beth Dover"
10561,Lillian Is Dead,2016,Jeremy Konner,"Natasha Leggero,Riki Lindhome",08/24/2016,21,"History,Comedy","Michael Ian Black,Paget Brewster,Beth Dover"
10562,Episode #3.1,2017,,,2017,21,"History,Comedy","Natasha Leggero,Riki Lindhome"
10563,Lillian's Wedding,2016,Jeremy Konner,"Natasha Leggero,Riki Lindhome",08/10/2016,21,"History,Comedy","Paget Brewster,Lauren Flans,Alice Hunter"
10564,Trial of the Century,2016,Jeremy Konner,"Natasha Leggero,Riki Lindhome",07/06/2016,21,"History,Comedy","Michael Ian Black,Brett Gelman,Christina Hendricks"
10565,The Prince and the Pauper,2016,Jeremy Konner,"Natasha Leggero,Riki Lindhome",06/29/2016,21,"History,Comedy","Michael Ian Black,Beth Dover,Lauren Flans"
10566,The American West,2016,,,06/11/2016,,"Western,History","Bert Thomas Morris,David H. Stevens,Will Strongheart"
10567,Gimme a T,2016,Daniel Attias,"Clyde Phillips,Marisa Wegrzyn",06/28/2016,42,"Drama,Crime","David Schwimmer,Jim Sturgess,Lorenza Izzo"
10568,Be My Baby,2016,Steve Shill,"Clyde Phillips,David Babcock",07/26/2016,42,"Drama,Crime","David Schwimmer,Jim Sturgess,Lorenza Izzo"
10569,Fire,2016,Steve Shill,"Clyde Phillips,Clyde Phillips",08/02/2016,42,"Drama,Crime","David Schwimmer,Jim Sturgess,Lorenza Izzo"
10570,Fred Armisen/Nikki Glaser/Barns Courtney,2016,,,06/15/2016,42,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Fred Armisen"
10571,Hickey,2017,Alex Grossman,Alex Grossman,01/10/2017,85,Comedy,"Troy Doherty,Flavia Watson,Raychel Diane Weiner"
10572,Thomas Middleditch/Linda Cardellini/Daniel Sloss,2016,,,06/13/2016,42,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Thomas Middleditch"
10573,I Got This,2016,Reginald Hudlin,"Steven Cragg,Brian Bradley",06/28/2016,21,Comedy,"Mike Epps,James Lesure,Iman Benson"
10574,Mr. Griffin Goes to Washington,2001,"Brian Hogan,Pete Michels","Seth MacFarlane,Seth MacFarlane",07/25/2001,23,"Animation,Comedy","Seth MacFarlane,Alex Borstein,Seth Green"
10575,The Deliberate Stranger,1986,Marvin J. Chomsky,"Richard W. Larsen,Hesper Anderson",05/04/1986,185,"Drama,Crime,Thriller","Mark Harmon,Frederic Forrest,George Grizzard"
10576,Three O'Clock High,1987,Phil Joanou,"Richard Christian Matheson,Tom Szolossi",10/09/1987,101,Comedy,"Casey Siemaszko,Annie Ryan,Richard Tyson"
10577,Some Like It Hot Tub,2011,Gil Junger,"Walt Becker,Michael LeSieur",01/18/2011,,Comedy,"Kelly Blatz,Matt Bush,Drew Seeley"
10578,Ski School,1991,Damian Lee,David Mitchell,01/11/1991,95,Comedy,"Dean Cameron,Tom Bresnahan,Patrick Labyorteaux"
10579,Every Time We Say Goodbye,1986,Mosh Mizrahi,"Mosh Mizrahi,Mosh Mizrahi",11/14/1986,98,"Drama,Romance,War","Tom Hanks,Cristina Marsillach,Benedict Taylor"
10580,The Toy,1982,Richard Donner,"Francis Veber,Carol Sobieski",12/10/1982,102,Comedy,"Richard Pryor,Jackie Gleason,Ned Beatty"
10581,Mischief,1985,Mel Damski,Noel Black,02/08/1985,93,"Romance,Comedy","Doug McKeon,Catherine Mary Stewart,Kelly Preston"
10582,"Any Given Friday Night at 10PM, 9PM Central",2009,Mel Damski,"Steve Franks,Josh Bycel",01/30/2009,44,"Crime,Mystery & Suspense,Comedy","James Roday,Dul Hill,Timothy Omundson"
10583,Across the Moon,1995,Lisa Gottlieb,Stephen Schneck,03/28/1995,88,"Drama,Romance,Comedy","Christina Applegate,Elizabeth Pea,Michael Mundra"
10584,Yeelen,2013,Kyle Kallgren,Kyle Kallgren,11/19/2013,31,Comedy,Kyle Kallgren
10585,Vice Versa,1988,Brian Gilbert,"F. Anstey,Dick Clement",03/11/1988,98,"Science Fiction & Fantasy,Comedy","Judge Reinhold,Fred Savage,Corinne Bohrer"
10586,Norbit,2007,Brian Robbins,"Eddie Murphy,Charlie Murphy",02/09/2007,102,"Drama,Romance,Comedy","Eddie Murphy,Thandie Newton,Terry Crews"
10587,Episode dated 3 April 2015,2015,,,04/03/2015,240,"Sports & Fitness,Television,News","Mike Greenberg,Jemele Hill,Mike Brey"
10588,Benny's Video,1993,Michael Haneke,Michael Haneke,02/11/1993,105,"Drama,Crime","Arno Frisch,Angela Winkler,Ulrich Mhe"
10589,Nutty Professor II: The Klumps,2000,Peter Segal,"Jerry Lewis,Steve Oedekerk",07/28/2000,106,"Science Fiction & Fantasy,Romance,Comedy","Eddie Murphy,Janet Jackson,Larry Miller"
10590,Blues Brothers 2000,1998,John Landis,"Dan Aykroyd,John Landis",02/06/1998,123,"Crime,Action & Adventure,Comedy","Dan Aykroyd,John Goodman,Walter Levine"
10591,Blood Massacre,,Don Dohler,"Barry Gold,Dan Buehl",,73,Horror,"George Stover,Robin London,James DiAngelo"
10592,Episode dated 24 December 2015,2015,,,12/24/2015,240,"Sports & Fitness,Television,News","Ian Fitzsimmons,Mike Golic,Charles Barkley"
10593,Caddyshack II,2014,Brad Jones,Brad Jones,03/12/2014,35,Comedy,Brad Jones
10594,Fletch Won,,,"David List,Gregory McDonald",,,"Crime,Mystery & Suspense,Comedy",
10595,What's My Line?: Part 2,1997,David Semel,"Joss Whedon,Marti Noxon",11/24/1997,60,"Drama,Science Fiction & Fantasy,Action & Adventure","Sarah Michelle Gellar,Nicholas Brendon,Alyson Hannigan"
10596,Caddyshack II,1988,Allan Arkush,"Brian Doyle-Murray,Harold Ramis",07/22/1988,98,"Sports & Fitness,Comedy","Jackie Mason,Robert Stack,Dyan Cannon"
10597,Modern Problems,1981,Ken Shapiro,"Ken Shapiro,Tom Sherohman",12/25/1981,89,"Science Fiction & Fantasy,Comedy","Chevy Chase,Patti D'Arbanville,Dabney Coleman"
10598,Storage Wars Canada,2013,,,08/29/2013,30,Television,"Ursula Stolf,Paul Kenny,Bogart Kenny"
10599,Brawl in the Family,2014,,,07/10/2014,30,Television,
10600,O Brother I Hate Thou,2014,Sebastian Cluer,,06/26/2014,30,Television,
10601,L.A. Story/Sleeping with the Enemy/The Silence of the Lambs,1991,,,02/09/1991,30,Television,"Gene Siskel,Roger Ebert"
10602,Episode #6.59,2012,,"Fortune Feimster,Sue Murphy",04/19/2012,22,"Television,Comedy","Chuy Bravo,Fortune Feimster,Jerry Ferrara"
10603,Meatballs 4,1992,Bob Logan,Bob Logan,03/06/1992,84,Comedy,"Corey Feldman,Jack Nance,Sarah Douglas"
10604,'Huff': Around the Edges,2004,Mary Jo Kaplan,Mary Jo Kaplan,November 2004,15,"Short,Documentary,Comedy","Hank Azaria,Lara Flynn Boyle,Blythe Danner"
10605,Elisabeth Moss/Cat Deeley/Gina Brillon/Jon Theodore,2015,Alexander J. Vietmeier,"Alex Baze,Bryan Donaldson",06/04/2015,60,"Television,Comedy","Seth Meyers,Elisabeth Moss,Cat Deeley"
10606,Morning Glory,2010,Roger Michell,Aline Brosh McKenna,11/10/2010,107,"Drama,Romance,Comedy","Rachel McAdams,Harrison Ford,Diane Keaton"
10607,The Time Traveler's Wife,2009,Robert Schwentke,"Bruce Joel Rubin,Audrey Niffenegger",08/14/2009,107,"Drama,Science Fiction & Fantasy,Romance","Eric Bana,Rachel McAdams,Ron Livingston"
10608,The Best of Me,2014,Michael Hoffman,"J. Mills Goodloe,Will Fetters",10/17/2014,118,"Drama,Romance","James Marsden,Michelle Monaghan,Luke Bracey"
10609,The Hustler,1961,Robert Rossen,"Sidney Carroll,Robert Rossen",10/27/1961,134,"Drama,Sports & Fitness","Paul Newman,Jackie Gleason,Piper Laurie"
10610,The Wraith,1986,Mike Marvin,Mike Marvin,11/21/1986,93,"Romance,Action & Adventure,Horror","Charlie Sheen,Nick Cassavetes,Sherilyn Fenn"
10611,Money Train,1995,Joseph Ruben,"Doug Richardson,Doug Richardson",11/22/1995,110,"Crime,Action & Adventure,Comedy","Wesley Snipes,Woody Harrelson,Jennifer Lopez"
10612,Nothing Lasts Forever,1984,Tom Schiller,Tom Schiller,September 1984,82,"Science Fiction & Fantasy,Comedy","Zach Galligan,Apollonia van Ravenstein,Lauren Tom"
10613,The Razor's Edge,1984,John Byrum,"W. Somerset Maugham,John Byrum",10/19/1984,128,"Drama,Romance,War","Bill Murray,Theresa Russell,Denholm Elliott"
10614,Mind Blown,,Christian Sesma,,,,"Science Fiction & Fantasy,Action & Adventure","Luke Goss,Monique Parent,Sarah Booth"
10615,Bikini Model Mayhem,2016,Sal V. Miers,,01/24/2016,81,Comedy,"Andrew Espinoza Long,Jacqui Holland,Katie Morgan"
10616,Lost Time,2014,Christian Sesma,"Kenneth Owens,Christian Sesma",09/19/2014,93,"Science Fiction & Fantasy,Thriller,Horror","Rochelle Vallese,Luke Goss,Robert Davi"
10617,An American Christmas Carol,1979,Eric Till,"Charles Dickens,Jerome Coopersmith",12/16/1979,98,"Drama,Science Fiction & Fantasy","Henry Winkler,Dorian Harewood,David Wayne"
10618,Lil,1966,Fernando Garca de la Vega,,02/28/1966,50,Drama,"Encarnita Abad,Margarita Calahorra,Enriqueta Carballeira"
10619,Levntate y lucha,1966,Pilar Mir,Horacio Ruiz de la Fuente,04/26/1966,50,Drama,"Estanis Gonzlez,Fernando Guilln,Emilio Gutirrez Caba"
10620,Where the Buffalo Roam,1980,Art Linson,"Hunter S. Thompson,John Kaye",04/25/1980,96,"Comedy,Biography","Peter Boyle,Bill Murray,Bruno Kirby"
10621,With Friends Like These...,1998,Philip Frank Messina,Philip Frank Messina,09/10/1998,105,Comedy,"Adam Arkin,David Strathairn,Jon Tenney"
10622,Mad Dog and Glory,1993,John McNaughton,Richard Price,03/05/1993,97,"Drama,Crime,Comedy","Robert De Niro,Uma Thurman,Bill Murray"
10623,Novela,,,,,50,Drama,"Pablo Sanz,Jos Mara Escuer,Luisa Sala"
10624,La saga Pignon,2001,"Thibault Carterot,Nicolas De La Mothe",,10/04/2001,54,Documentary,"Michel Aumont,Sophie Dacbert,Grard Depardieu"
10625,The Boys & Girl from County Clare,2006,John Irvin,Nicholas Adams,03/24/2006,90,"Romance,Musical & Performing Arts,Comedy","Colm Meaney,Bernard Hill,Shaun Evans"
10626,Boudu,2005,Grard Jugnot,"Ren Fauchois,Philippe Lopes-Curval",03/09/2005,104,Comedy,"Grard Depardieu,Grard Jugnot,Constance Doll"
10627,Weeds,1987,John D. Hancock,"Dorothy Tristan,John D. Hancock",10/16/1987,115,Drama,"Nick Nolte,Rita Taggart,Ernie Hudson"
10628,Grace Quigley,1985,Anthony Harvey,A. Martin Zweiback,05/17/1985,87,Comedy,"Katharine Hepburn,Nick Nolte,Kit Le Fever"
10629,Cross My Heart,1987,Armyan Bernstein,"Armyan Bernstein,Gail Parent",11/13/1987,90,"Romance,Comedy","Martin Short,Annette O'Toole,Paul Reiser"
10630,Bedtime Story,1964,Ralph Levy,"Stanley Shapiro,Paul Henning",08/21/1964,99,Comedy,"Marlon Brando,David Niven,Shirley Jones"
10631,Parenthood,1989,Ron Howard,"Lowell Ganz,Babaloo Mandel",08/02/1989,124,"Drama,Comedy","Steve Martin,Mary Steenburgen,Dianne Wiest"
10632,Repo,2010,Benjamin Gourley,Benjamin Gourley,2010,97,"Drama,Comedy","Benjamin Gourley,Jason Mewes,Izabella Miko"
10633,Silent But Deadly,2013,Stephen Scott,"Lori Kelly,David Pluscauskas",09/24/2013,80,"Horror,Comedy","Jason Mewes,William Sadler,Jordan Prentice"
10634,Poolboy: Drowning Out the Fury,2011,Garrett Brawith,Ross Patterson,07/27/2011,90,Comedy,"Kevin Sorbo,Ross Patterson,Danny Trejo"
10635,AWOL-72,2015,Christian Sesma,"Cecil Chambers,Christian Sesma",09/25/2015,82,Thriller,"Luke Goss,Heather Roop,RZA"
10636,Breath of Hate,2015,Sean Cain,Wes Laurie,2015,,"Drama,Romance,Horror","Ezra Buzzington,Jason Mewes,Lauren Walsh"
10637,Vigilante Diaries,2013,,,06/11/2013,,"Action & Adventure,Comedy","Jason Mewes,Paul Sloan,Kevin L. Walker"
10638,On Bloody Sunday,2007,Christian Sesma,Christian Sesma,11/20/2007,86,Horror,"Annemarie Pazmino,Yousef Abu-Taleb,Mike Hatton"
10639,Vigilante Chronicles,2016,Christian Sesma,"Christian Sesma,Paul Sloan",2016,95,Action & Adventure,"Mike Hatton,Paul Sloan"
10640,Learn How to Play 'Tonight You Belong to Me',2005,,,07/26/2005,6,"Short,Musical & Performing Arts","Janet Klein,Steve Martin,Bernadette Peters"
10641,All of Me,1984,Carl Reiner,"Edwin Davis,Henry Olek",09/21/1984,93,"Science Fiction & Fantasy,Romance,Comedy","Steve Martin,Lily Tomlin,Victoria Tennant"
10642,I'm Not Like That No More,,Christian Sesma,"Matt Flynn,Christian Sesma",,90,Comedy,"Felipe Esparza,Paul Rodriguez,Deborah Baker Jr."
10643,Dead Men Don't Wear Plaid,1982,Carl Reiner,"Carl Reiner,George Gipe",05/21/1982,88,"Crime,Mystery & Suspense,Comedy","Steve Martin,Rachel Ward,Alan Ladd"
10644,If I'm Dyin' I'm Lyin',2000,"Swinton O. Scott III,Peter Shin","Seth MacFarlane,Seth MacFarlane",04/04/2000,23,"Animation,Comedy","Seth MacFarlane,Alex Borstein,Seth Green"
10645,The King Is Dead,2000,"Monte Young,Peter Shin","Seth MacFarlane,Seth MacFarlane",03/28/2000,23,"Animation,Comedy","Seth MacFarlane,Alex Borstein,Seth Green"
10646,Eyes on the Prize,1994,"Dan Jeup,Brian Sheesley","Al Jean,Mike Reiss",03/02/1994,23,"Drama,Animation,Comedy","Jon Lovitz,Nancy Cartwright,Christine Cavanaugh"
10647,Funny About Love,1990,Leonard Nimoy,"Bob Greene,Norman Steinberg",09/21/1990,101,"Romance,Comedy","Gene Wilder,Christine Lahti,Mary Stuart Masterson"
10648,Starting Over,1997,Lee Shallat Chemel,"Gary David Goldberg,Bill Lawrence",01/14/1997,23,Comedy,"Michael J. Fox,Richard Kind,Alan Ruck"
10649,Criss Cross,1996,Lee Shallat Chemel,"Gary David Goldberg,Bill Lawrence",12/17/1996,23,Comedy,"Michael J. Fox,Carla Gugino,Richard Kind"
10650,Oru Murai Vanthu Paarthaya,2016,Sajan K. Mathew,,05/27/2016,151,"Romance,Horror,Comedy","Unni Mukundan,Prayaga Martin,Sanusha"
10651,Teesra Kaun?,1994,Partho Ghosh,"Sameer,K.K. Singh",12/23/1994,160,"Drama,Thriller,Comedy","Mithun Chakraborty,Chunky Pandey,Somy Ali"
10652,Nirnayam,,"Priyadarshan,R.R. Shinde","Ganesh Patro,Priyadarshan",,170,"Drama,Action & Adventure,Comedy","Nagarjuna Akkineni,Amala Akkineni,Murali Mohan"
10653,Lava Kusa,1963,"Rao C.S.R.,Chittajalu Pullayya",Samudrala Raghavacharya,03/29/1963,,"Drama,Kids & Family,Musical & Performing Arts","Taraka Rama Rao Nandamuri,Anjali Devi,Chittor V. Nagaiah"
10654,Aditya 369,1991,Singeetham Srinivasa Rao,"Jandhyala,Jandhyala",08/18/1991,140,"Science Fiction & Fantasy,Kids & Family,Action & Adventure","Nandamuri Bala Krishna,Mohini,Amrish Puri"
10655,Josh,2009,Vasu Varma,"Vasu Varma,Vasu Varma",09/04/2009,167,Kids & Family,"Naga Chaitanya Akkineni,Karthika Nair,J.D. Chakravarthi"
10656,Aniyathi Pravu,,Fazil,Fazil,,,"Drama,Romance","Kunchacko Boban,Shalini,Harisree Asokan"
10657,Nandanam,2002,Renjith,Renjith,12/20/2002,145,"Drama,Romance,Comedy","Navya Nair,Prithviraj Sukumaran,Kaviyoor Ponnamma"
10658,Passenger,2009,Ranjith Sankar,Ranjith Sankar,05/07/2009,,"Drama,Thriller","Sreenivasan,Dileep,Mamta Mohandas"
10659,Arabikkatha,2007,Lal Jose,Ikbal Kuttipuram,07/05/2007,,Drama,"Sreenivasan,Chu Min Zhang,Indrajith"
10660,London,2005,Sundar C.,Sundar C.,2005,149,"Drama,Comedy","Prashanth,Ankita,Mumtaz"
10661,Nuvvu Vasthavani,2000,V.R. Pratap,"V.R. Pratap,Marudhuri Raja",04/05/2000,158,"Kids & Family,Romance","Nagarjuna Akkineni,Simran,Ali"
10662,Vijetha,1985,Kodanda Rami Reddy A.,"Jandhyala,Ranjan Roy",10/23/1985,,"Drama,Kids & Family,Romance","Chiranjeevi,Bhanupriya,Sharada"
10663,Chinthavishtayaya Shyamala,1998,Sreenivasan,Sreenivasan,1998,158,"Drama,Comedy","Sreenivasan,Sangeetha,Thilakan"
10664,Aavida Maa Aavide,1998,Satyanarayana E.V.V.,Marudhuri Raja,01/14/1998,153,"Kids & Family,Romance","Nagarjuna Akkineni,Tabu,Heera Rajgopal"
10665,Kalisundam Raa,2000,Uday Shankar,"Paruchuri Brothers,Uday Shankar",01/14/2000,,Kids & Family,"Achyuth,Ali,Annapoorna"
10666,Raja,1999,Muppalaneni Siva,,03/18/1999,,Kids & Family,"Abbas,Annapoorna,Tanikella Bharani"
10667,S/O Satyamurthy,2015,Trivikram Srinivas,Trivikram Srinivas,04/09/2015,162,"Kids & Family,Action & Adventure,Comedy","Allu Arjun,Samantha Ruth Prabhu,Adah Sharma"
10668,Athaku Yamudu Ammayiki Mogudu,1989,Kodanda Rami Reddy A.,"Kodanda Rami Reddy A.,Gopalakrishna Paruchuri",01/14/1989,140,"Kids & Family,Action & Adventure,Comedy","Chiranjeevi,Vijayshanti,Vanisri"
10669,Golkonda High School,2011,Mohana Krishna Indraganti,"Srinivas Avasarala,Harimohan Paruvu",01/12/2011,,"Drama,Kids & Family","Sumanth,Swathi Reddy,Subbaraju"
10670,"Boeing, Boeing",1965,John Rich,"Edward Anhalt,Marc Camoletti",12/22/1965,102,Comedy,"Tony Curtis,Jerry Lewis,Dany Saval"
10671,Nuvvu Naaku Nachchav,2001,Vijay K. Bhaskar,Trivikram Srinivas,09/06/2001,184,"Kids & Family,Musical & Performing Arts,Comedy","Venkatesh Daggubati,Aarti Agarwal,Suhasini"
10672,Sanmanassullavarkku Samadhanam,,Sathyan Anthikad,"Sreenivasan,Sathyan Anthikad",,,"Drama,Comedy","Mohanlal,Karthika,Thilakan"
10673,Pretham,2016,Ranjith Sankar,,08/12/2016,126,"Horror,Mystery & Suspense,Comedy","Jayasurya,Govind Padmasoorya,Aju Varghese"
10674,Paleri Manikyam: Oru Pathirakolapathakathinte Katha,2009,Renjith,"T.P. Rajeevan,Renjith",12/05/2009,,"Drama,History,Crime","Mammootty,T. Damodaran,Sasi Kalinga"
10675,Classmates,2007,"Vijay K. Bhaskar,Vijay K. Bhaskar","James Albert,Vijay K. Bhaskar",04/20/2007,156,"Drama,Romance,Mystery & Suspense","Sumanth,Kamalinee Mukherjee,Ravi Verma"
10676,Vatsalyam,1993,Cochin Hanifa,Ambazhathil Karunakaran Lohithadas,04/11/1993,,Drama,"Mammootty,Geetha,Siddique"
10677,Amaram,1991,Bharathan,Ambazhathil Karunakaran Lohithadas,02/01/1991,150,Drama,"Mammootty,Mathu,Murali"
10678,Madhura Naranga,2015,Sugeeth,Nishad K. Koya,07/17/2015,155,"Drama,Kids & Family,Romance","Kunchacko Boban,Biju Menon,Parvathy Ratheesh"
10679,Friends,,Siddique,Siddique,,150,"Drama,Comedy","Jayaram,Mukesh,Sreenivasan"
10680,New Delhi,1987,Joshi,"Gyandev Agnihotri,Dennis Joseph",07/24/1987,143,"Drama,Crime,Action & Adventure","Jeetendra,Mammootty,Sumalatha"
10681,Sethurama Iyer CBI,2004,K. Madhu,S.N. Swamy,01/23/2004,,"Thriller,Mystery & Suspense","Mammootty,Mukesh,Vineeth Kumar"
10682,The King,1995,Shaji Kailas,Renji Panicker,11/11/1995,198,"Thriller,Action & Adventure","Mammootty,Murali,Vani Viswanathan"
10683,Kaazhcha,2004,Blessy,Blessy,08/27/2004,137,Drama,"Mammootty,Master Yash,Padmapriya"
10684,Fireman,2015,Deepu Karunakaran,"Deepu Karunakaran,Manoj Ranjith",02/19/2015,118,Thriller,"Mammootty,Nyla Usha,Unni Mukundan"
10685,Oru CBI Diary Kurippu,1988,K. Madhu,S.N. Swamy,02/18/1988,137,"Thriller,Mystery & Suspense","Mammootty,Suresh Gopi,Jagathi Sreekumar"
10686,Annayum Rasoolum,2013,Rajeev Ravi,"Santhosh Echikkanam,Rajeev Ravi",01/04/2013,168,Romance,"Fahadh Faasil,Andrea Jeremiah,Sunny Wayne"
10687,Varsham,2014,Ranjith Sankar,,11/06/2014,150,Drama,"Shebin Benson,Shivaji Guruvayoor,Mammootty"
10688,Ustad Hotel,2012,Anwar Rasheed,Anjali Menon,06/29/2012,151,"Drama,Musical & Performing Arts,Comedy","Dulquer Salmaan,Thilakan,Siddique"
10689,Chennaiyil Oru Naal,2013,Shahid Khader,,03/29/2013,117,Thriller,"Sarath Kumar,Cheran,Prakash Raj"
10690,Memories,2013,Jeethu Joseph,Jeethu Joseph,08/09/2013,132,"Thriller,Mystery & Suspense","Prithviraj Sukumaran,Sreejith Ravi,Vijayaraghavan"
10691,22 Female Kottayam,2012,Aashiq Abu,"Abhilash Kumar,Syam Pushkaran",05/03/2012,120,"Drama,Romance,Crime","Vijay Babu,Rima Kallingal,Fahadh Faasil"
10692,Diamond Necklace,2012,Lal Jose,Ikbal Kuttipuram,05/04/2012,157,Thriller,"Anusree,Fahadh Faasil,Gauthami Nair"
10693,Thattathin Marayathu,2012,Vineeth Sreenivasan,Vineeth Sreenivasan,07/13/2012,127,"Drama,Romance,Musical & Performing Arts","Nivin Pauly,Isha Talwar,Manoj K. Jayan"
10694,The Perfect Storm,2000,Wolfgang Petersen,"Sebastian Junger,William D. Wittliff",06/30/2000,130,"Drama,Action & Adventure","George Clooney,Mark Wahlberg,John C. Reilly"
10695,Manipulated by Fingers,2013,Prasanth Vijay,"Prasanth Vijay,Ranjit Karunakaran Nair",02/09/2013,20,Short,"Nelliyodu Vasudevan Namboothiri,Arun Omana Sadanandan,Nikhil Narendran"
10696,Fatal Instinct,1993,Carl Reiner,David O'Malley,10/29/1993,91,"Crime,Thriller,Comedy","Armand Assante,Sherilyn Fenn,Kate Nelligan"
10697,June 9,2008,T. Michael Conway,T. Michael Conway,06/09/2008,95,"Thriller,Mystery & Suspense,Horror","Jon Ray,Trevor Williams,Maggie Blazunas"
10698,The Veil,2016,Phil Joanou,Robert Ben Garant,01/19/2016,93,"Drama,Thriller,Horror","Jessica Alba,Lily Rabe,Thomas Jane"
10699,The Ouija Experiment,2011,Israel Luna,Israel Luna,05/06/2011,92,Horror,"Justin Armstrong,Dave Clark,Leah Diaz"
10700,Echoes,2015,Nils Timm,Nils Timm,05/18/2015,93,"Drama,Thriller,Horror","Kate French,Steven Brand,Steve Hanks"
10701,Evidence,2012,Howie Askins,Ryan McCoy,09/27/2012,78,"Science Fiction & Fantasy,Mystery & Suspense,Horror","Ryan McCoy,Brett Rosenberg,Ashley Bracken"
10702,Apocalyptic,2014,Glenn Triggs,"Glenn Triggs,Glenn Triggs",09/17/2014,84,"Drama,Horror","Jane Elizabeth Barry,David Macrae,Geoff Pinfield"
10703,Death of a Ghost Hunter,2007,Sean Tretta,"Mike Marsh,Sean Tretta",10/28/2007,107,"Thriller,Horror","Patti Tindall,Mike Marsh,Davina Joy"
10704,Entity,2013,Steve Stone,Steve Stone,06/11/2013,87,"Drama,Thriller,Horror","Dervla Kirwan,Charlotte Riley,Branko Tomovic"
10705,The Guardian,2006,Andrew Davis,Ron L. Brinkerhoff,09/29/2006,139,"Drama,Action & Adventure","Kevin Costner,Ashton Kutcher,Sela Ward"
10706,The Paranormal Diaries: Clophill,2013,"Michael G. Bartlett,Kevin Gates","Kevin Gates,Kevin Gates",10/14/2013,88,Horror,"Mark Andrews,Michael G. Bartlett,Criselda Cabitac"
10707,The Sentinel,2006,Clark Johnson,"George Nolfi,Gerald Petievich",04/21/2006,108,"Thriller,Crime,Action & Adventure","Michael Douglas,Kiefer Sutherland,Kim Basinger"
10708,The Serpent and the Rainbow,1988,Wes Craven,"Wade Davis,Richard Maxwell",02/05/1988,98,"Science Fiction & Fantasy,Horror","Bill Pullman,Cathy Tyson,Zakes Mokae"
10709,The Legacy,1979,Richard Marquand,"Jimmy Sangster,Patrick Tilley",09/14/1979,102,Horror,"Katharine Ross,Sam Elliott,John Standing"
10710,The House by the Cemetary,2015,Brad Jones,Brad Jones,03/01/2015,23,Comedy,Brad Jones
10711,Connecting Rooms,1970,Franklin Gollings,"Franklin Gollings,Marion Hart",May 1970,103,Drama,"Bette Davis,Michael Redgrave,Alexis Kanner"
10712,The Dark Secret of Harvest Home,1978,,,1978,300,"Drama,Mystery & Suspense,Horror","Bette Davis,David Ackroyd,Rosanna Arquette"
10713,Motel Hell,1980,Kevin Connor,"Robert Jaffe,Steven-Charles Jaffe",10/24/1980,101,"Horror,Thriller,Comedy","Rory Calhoun,Paul Linke,Nancy Parsons"
10714,Trilogy of Terror,1975,Dan Curtis,"William F. Nolan,Richard Matheson",03/04/1975,72,"Thriller,Horror","Karen Black,Robert Burton,John Karlen"
10715,Arise! The SubGenius Video,,"Cordt Holland,Douglass Smith","Paul Mavrides,Harry S. Robins",,80,"Documentary,Comedy","Seth Deitch,J.R. 'Bob' Dobbs,Juan Fava"
10716,Raw Meat,1973,Gary Sherman,"Ceri Jones,Gary Sherman",September 1973,87,Horror,"Donald Pleasence,Norman Rossington,David Ladd"
10717,Let's Scare Jessica to Death,1971,John D. Hancock,"John D. Hancock,Lee Kalcheim",08/06/1971,89,"Drama,Science Fiction & Fantasy,Horror","Zohra Lampert,Barton Heyman,Kevin O'Connor"
10718,Ghost Story,1981,John Irvin,"Peter Straub,Lawrence D. Cohen",12/18/1981,110,"Drama,Thriller,Horror","Craig Wasson,Alice Krige,Fred Astaire"
10719,King Liar,2016,"Lal,Jean Paul Lal","Bipin Chandran,Lal",04/02/2016,157,Comedy,"Dileep,Madonna Sebastian,Lal"
10720,Dog Soldiers,2002,Neil Marshall,Neil Marshall,05/10/2002,105,"Science Fiction & Fantasy,Action & Adventure,Horror","Sean Pertwee,Kevin McKidd,Emma Cleasby"
10721,Howling II: ... Your Sister Is a Werewolf,1986,Philippe Mora,"Gary Brandner,Robert Sarno",January 1986,91,"Thriller,Horror","Christopher Lee,Annie McEnroe,Reb Brown"
