64,62,14272,Untitled Macon Blair Project,Crime,0,,,Macon Blair,2017,Untitled Wes Anderson Project,,,,21,"Wes Anderson,",2018
65,63,648,Untitled Max Landis Project,Adventure,0,,,,,Untitled Wikileaks/HBO Project,Drama,128.0,60.0,66,"Bill Condon,",2013
66,63,4626,Untitled Max Landis Project,Adventure,0,,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,",2017
67,63,11292,Untitled Max Landis Project,Adventure,0,,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,",2002
68,63,14272,Untitled Max Landis Project,Adventure,0,,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,",2018
69,65,616,Houdini,Drama,0,,,,,Houdini,Drama,94.0,62.0,804,"Pen Densham,",1998
70,67,1792,Pied Piper,"Fantasy,Mystery",0,,,,,The Pied Piper,"Classics,Drama,Musical,Performing Arts,Science Fiction,Fantasy",90.0,62.0,74,"Jacques Demy,",1972
71,71,6041,Me Him Her,"Comedy,Romance",98,53.0,703.0,Max Landis,2016,Me Him Her,Comedy,97.0,66.0,180,"Max Landis,",2016
72,75,661,Spectre,"Action,Adventure,Mystery",148,68.0,285431.0,Sam Mendes,2015,Spectre,"Action,Adventure",150.0,70.0,104655,"Sam Mendes,",2015
73,76,95,Loving,"Biography,Drama",123,65.0,603.0,Jeff Nichols,2016,Loving,Drama,123.0,78.0,9803,"Jeff Nichols,",2016
74,77,843,Christine,"Biography,Drama",115,72.0,370.0,Antonio Campos,2016,Christine,Drama,115.0,76.0,2501,"Antonio Campos,",2016
75,78,317,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,2017,Free Birds,"Animation,Comedy,Kids,Family",90.0,64.0,39948,"Jimmy Hayward,",2013
76,78,1355,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,2017,Free Zone,"Art House,International,Drama",90.0,54.0,20064,"Amos Gitai,",2006
77,78,3152,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,2017,Free Fire,"Action,Adventure,Comedy,Drama",,,377,"Ben Wheatley,",2017
78,79,104,Lion,Drama,120,76.0,382.0,Garth Davis,2016,Lion,Drama,120.0,80.0,2651,"Garth Davis,",2016
79,81,2148,Una,Drama,94,73.0,190.0,Benedict Andrews,2016,Una,Drama,94.0,72.0,98,"Benedict Andrews,",2016
80,89,111,Middle School: The Worst Years of My Life/The Girl on the Train,"Comedy,Television",47,,,,2016,Middle School: The Worst Years of My Life,Comedy,92.0,72.0,3903,"Steve Carr,",2016
81,90,14310,Web Therapy,Comedy,22,67.0,3383.0,"Dan Bucatinsky,Lisa Kudrow,Don Roos",2011,Beyond Therapy,Comedy,93.0,52.0,1214,"Robert Altman,",1987
82,91,66,The Light Between Oceans,"Drama,Romance",133,73.0,3720.0,Derek Cianfrance,2016,The Light Between Oceans,"Drama,Romance",132.0,72.0,11113,"Derek Cianfrance,",2016
83,94,119,Queen of Katwe,"Biography,Drama,Sport",124,72.0,1225.0,Mira Nair,2016,Queen of Katwe,Drama,124.0,84.0,8198,"Mira Nair,",2016
84,94,18340,Queen of Katwe,"Biography,Drama,Sport",124,72.0,1225.0,Mira Nair,2016,Queen of Cactus Cove,"Comedy,Special Interest",,,44,"Anna Christopher,",2005
85,95,986,When the Bough Breaks,"Drama,Horror,Mystery",107,43.0,980.0,Jon Cassar,2016,When the Bough Breaks,"Drama,Horror",93.0,62.0,6193,"Jon Cassar,",2016
86,96,111,Middle School: The Worst Years of My Life,"Animation,Comedy,Drama",92,58.0,509.0,Steve Carr,2016,Middle School: The Worst Years of My Life,Comedy,92.0,72.0,3903,"Steve Carr,",2016
87,98,762,Charlie and the Chocolate Factory,"Adventure,Comedy,Family",115,67.0,325855.0,Tim Burton,2005,Charlie and the Chocolate Factory,"Comedy,Kids,Family,Science Fiction,Fantasy",130.0,60.0,32494408,"Tim Burton,",2005
88,99,197,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113,63.0,33787.0,James Bobin,2016,Alice Through the Looking Glass,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",108.0,66.0,35625,"James Bobin,",2016
89,99,12755,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113,63.0,33787.0,James Bobin,2016,Alice Through the Looking Glass,"Animation,Kids,Family,Science Fiction,Fantasy",73.0,,48,,1987
90,100,3482,Hugo,"Adventure,Drama,Family",126,75.0,248338.0,Martin Scorsese,2011,Hugo,"Kids,Family,Mystery",126.0,78.0,81426,"Martin Scorsese,",2011
91,101,124,Zootopia,"Animation,Adventure,Comedy",108,81.0,209549.0,"Byron Howard,Rich Moore",2016,Zootopia,"Action,Adventure,Animation,Comedy",108.0,88.0,93402,"Byron Howard,Rich Moore,Jared Bush,",2016
92,102,22,Kubo and the Two Strings,"Animation,Adventure,Family",101,83.0,15249.0,Travis Knight,2016,Kubo and the Two Strings,"Action,Adventure,Animation,Science Fiction,Fantasy",101.0,84.0,27524,"Travis Knight (II) ,",2016
