86,96,111,Middle School: The Worst Years of My Life,"Animation,Comedy,Drama",92,58.0,509.0,Steve Carr,Middle School: The Worst Years of My Life,Comedy,92.0,72.0,3903,"Steve Carr,"
87,98,762,Charlie and the Chocolate Factory,"Adventure,Comedy,Family",115,67.0,325855.0,Tim Burton,Charlie and the Chocolate Factory,"Comedy,Kids,Family,Science Fiction,Fantasy",130.0,60.0,32494408,"Tim Burton,"
88,99,197,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113,63.0,33787.0,James Bobin,Alice Through the Looking Glass,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",108.0,66.0,35625,"James Bobin,"
89,99,12755,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113,63.0,33787.0,James Bobin,Alice Through the Looking Glass,"Animation,Kids,Family,Science Fiction,Fantasy",73.0,,48,
90,100,3482,Hugo,"Adventure,Drama,Family",126,75.0,248338.0,Martin Scorsese,Hugo,"Kids,Family,Mystery",126.0,78.0,81426,"Martin Scorsese,"
91,101,124,Zootopia,"Animation,Adventure,Comedy",108,81.0,209549.0,"Byron Howard,Rich Moore",Zootopia,"Action,Adventure,Animation,Comedy",108.0,88.0,93402,"Byron Howard,Rich Moore,Jared Bush,"
92,102,22,Kubo and the Two Strings,"Animation,Adventure,Family",101,83.0,15249.0,Travis Knight,Kubo and the Two Strings,"Action,Adventure,Animation,Science Fiction,Fantasy",101.0,84.0,27524,"Travis Knight (II) ,"
93,103,55,The Secret Life of Pets,"Animation,Adventure,Comedy",87,67.0,58540.0,"Yarrow Cheney,Chris Renaud",The Secret Life of Pets,"Animation,Comedy",90.0,72.0,74579,"Yarrow Cheney,Chris Renaud,"
94,104,5,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",Finding Dory,Animation,100.0,82.0,175300,"Andrew Stanton,Angus MacLane,"
95,104,2268,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",Finding Nemo,"Animation,Comedy,Kids,Family",100.0,76.0,33354427,"Andrew Stanton,Lee Unkrich,"
96,104,6386,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",Finding Oscar,"Art House,International,Documentary,Drama",,,3,"Ryan Suffern,"
97,105,29,Pete's Dragon,"Adventure,Family,Fantasy",103,72.0,8850.0,David Lowery,Pete's Dragon,"Animation,Kids,Family",90.0,78.0,31891,"David Lowery,"
98,105,14788,Pete's Dragon,"Adventure,Family,Fantasy",103,72.0,8850.0,David Lowery,The Last Dragon,"Action,Adventure",,88.0,337,
99,107,62,Storks,"Animation,Adventure,Comedy",87,71.0,4597.0,"Nicholas Stoller,Doug Sweetland",Storks,"Animation,Comedy,Kids,Family",87.0,74.0,19838,"Nicholas Stoller,Doug Sweetland,"
100,108,648,Untitled Aditya Chopra Project,Drama,0,,,,Untitled Wikileaks/HBO Project,Drama,128.0,60.0,66,"Bill Condon,"
101,108,4626,Untitled Aditya Chopra Project,Drama,0,,,,Untitled Woody Allen Project,Comedy,,,13,"Woody Allen,"
102,108,11292,Untitled Aditya Chopra Project,Drama,0,,,,Untitled Secret Service Project ,"Drama,Television",,,64,"Rupert Wainwright,"
103,108,14272,Untitled Aditya Chopra Project,Drama,0,,,,Untitled Wes Anderson Project,,,,21,"Wes Anderson,"
104,111,216,Bridget Jones's Baby,"Comedy,Romance",123,74.0,14099.0,Sharon Maguire,Bridget Jones's Baby,"Comedy,Romance",122.0,76.0,15922,"Sharon Maguire,"
105,111,9759,Bridget Jones's Baby,"Comedy,Romance",123,74.0,14099.0,Sharon Maguire,Bridget Jones's Diary,"Comedy,Romance",94.0,66.0,495111,"Sharon Maguire,"
106,112,23,War Dogs,"Comedy,Crime,Drama",114,72.0,24831.0,Todd Phillips,War Dogs,"Comedy,Drama",114.0,74.0,24022,"Todd Phillips,"
107,112,15582,War Dogs,"Comedy,Crime,Drama",114,72.0,24831.0,Todd Phillips,Sea Dogs,Mystery,,,37,"Neil Hollander,"
108,113,858,The Birth of a Nation,"Biography,Drama,History",120,58.0,5050.0,Nate Parker,The Birth of a Nation,Drama,119.0,76.0,12753,"Nate Parker,"
109,113,2513,The Birth of a Nation,"Biography,Drama,History",120,58.0,5050.0,Nate Parker,Beasts of No Nation,Drama,120.0,84.0,7272,"Cary Joji Fukunaga,"
110,115,14852,The Terminal,"Comedy,Drama,Romance",128,73.0,308909.0,Steven Spielberg,The Terminal,"Comedy,Drama",128.0,68.0,407160,"Steven Spielberg,"
111,116,218,Ben-Hur,"Action,Adventure,Drama",125,57.0,9702.0,Timur Bekmambetov,Ben-Hur,"Classics,Drama",124.0,72.0,17100,"Timur Bekmambetov,"
112,117,9357,Captain Phillips,"Biography,Drama,Mystery",134,79.0,328658.0,Paul Greengrass,Captain Phillips,Drama,134.0,84.0,151065,"Paul Greengrass,"
113,118,11967,The Da Vinci Code,Mystery,149,66.0,320298.0,Ron Howard,The Da Vinci Code,"Action,Adventure,Drama,Mystery",149.0,64.0,760660,"Ron Howard,"
114,120,11963,Angels & Demons,Mystery,138,67.0,212546.0,Ron Howard,Angels & Demons,"Drama,Mystery",139.0,68.0,531186,"Ron Howard,"
115,128,98,Dear Zindagi,"Drama,Romance",0,,,Gauri Shinde,Dear Zindagi,Comedy,150.0,82.0,252,"Gauri Shinde,"
116,129,2185,Diamond Island,Drama,101,69.0,58.0,Davy Chou,Diamond Island,"Art House,International",101.0,,5,"Davy Chou,"
117,129,14511,Diamond Island,Drama,101,69.0,58.0,Davy Chou,Small Island,"Art House,International,Drama,Television",,,5,"John Alexander,"
118,131,5250,Yourself and Yours,Drama,86,66.0,70.0,Sang-soo Hong,Yourself and Yours,"Art House,International,Drama",86.0,,13,"Sang-soo Hong,"
119,134,2132,Personal Shopper,"Drama,Mystery",105,65.0,745.0,Olivier Assayas,Personal Shopper,"Art House,International,Drama,Mystery",105.0,70.0,303,"Olivier Assayas,"
120,135,5864,The Office,"Comedy,Drama",30,86.0,69679.0,,Head Office,"Comedy,Television",92.0,52.0,1778,"Ken Finkleman,"
121,136,651,The Girl with All the Gifts,"Drama,Horror,Mystery",111,73.0,2594.0,Colm McCarthy,The Girl With All the Gifts,Drama,,76.0,1493,"Colm McCarthy,"
122,138,24,Hell or High Water,"Crime,Drama",102,82.0,13983.0,David Mackenzie,Hell or High Water,Drama,102.0,84.0,27217,"David Mackenzie,"
123,139,54,Amanda Knox,"Documentary,Crime",92,70.0,4218.0,"Rod Blackhurst,Brian McGinn",Amanda Knox,Documentary,92.0,72.0,668,"Rod Blackhurst,Brian McGinn,"
